Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
211,"Allylurea",,"C<sub>4</sub>H<sub>8</sub>N<sub>2</sub>O","557-11-9",1745068,"100.119","nd (al)",85,,,,,,,"msc H<sub>2</sub>O, EtOH; sl eth, chl; i peth",
212,"Allyl vinyl ether","3-(Ethenyloxy)-1-propene","C<sub>5</sub>H<sub>8</sub>O","3917-15-5",1697665,"84.117",,,66,,"0.7900<sup>20</sup>","1.4062<sup>20</sup>",,,"i H<sub>2</sub>O; s eth, ace, chl",
213,"Aloin A",,"C<sub>21</sub>H<sub>22</sub>O<sub>9</sub>","1415-73-2",,"418.395",,"149.3",,,,,,,"s H<sub>2</sub>O, EtOH, ace; sl eth, bz; i chl",
214,"Alphaprodine",,"C<sub>16</sub>H<sub>23</sub>NO<sub>2</sub>","15867-21-7",,"261.360","cry",103,,,,,,,,
215,"Alstonidine",,"C<sub>22</sub>H<sub>24</sub>N<sub>2</sub>O<sub>4</sub>","25394-75-6",57346,"380.437","cry (eth)",189,,,,,,,"vs ace, EtOH",
216,"Alstonine",,"C<sub>21</sub>H<sub>20</sub>N<sub>2</sub>O<sub>3</sub>","642-18-2",,"348.395","ye nd (ace)","207 dec",,,,,,,,
217,"<small>D</small>-Altrose",,"C<sub>6</sub>H<sub>12</sub>O<sub>6</sub>","1990-29-0",1724621,"180.155","pr (MeOH,al)","103.5",,,,,,,"vs H<sub>2</sub>O",
218,"Aluminum 2-butoxide","2-Butanol, aluminum salt","C<sub>12</sub>H<sub>27</sub>AlO<sub>3</sub>","2269-22-9",,"246.322",,,,"197<sup>20</sup>",,,,,,
219,"Aluminum distearate","Hydroxyaluminum distearate","C<sub>36</sub>H<sub>71</sub>AlO<sub>5</sub>","300-92-5",,"610.928","wh pow",145,,,,,,,"i H<sub>2</sub>O",
220,"Aluminum ethanolate","Aluminum ethoxide","C<sub>6</sub>H<sub>15</sub>AlO<sub>3</sub>","555-75-9",,"162.163","liq/wh solid",140,,"200<sup>7</sup>",,,,,"dec H<sub>2</sub>O; sl xyl",
221,"Aluminum isopropoxide",,"C<sub>9</sub>H<sub>21</sub>AlO<sub>3</sub>","555-31-7",,"204.243","hyg wh solid",119,,"135<sup>10</sup>, 94<sup>0.5</sup>",,,,,"reac H<sub>2</sub>O; s EtOH, bz, peth, chl",
222,"Alverine","<i>N</i>-Ethyl-bis(3-phenylpropyl)amine","C<sub>20</sub>H<sub>27</sub>N","150-59-4",,"281.435","oil",,,"166<sup>0.3</sup>",,,,,,
223,"α-Amanitin",,"C<sub>39</sub>H<sub>54</sub>N<sub>10</sub>O<sub>14</sub>S","23109-05-9",,"918.970","nd","254 dec",,,,,,,,
224,"Amaranth dye",,"C<sub>20</sub>H<sub>11</sub>N<sub>2</sub>Na<sub>3</sub>O<sub>10</sub>S<sub>3</sub>","915-67-3",,"604.472","dk red pow",,,,,,,,"s H<sub>2</sub>O",
225,"Ametryn","<i>N</i>-Ethyl-<i>N'</i>-(1-methylethyl)-6-(methylthio)-1,3,5-triazine-2,4-diamine","C<sub>9</sub>H<sub>17</sub>N<sub>5</sub>S","834-12-8",,"227.330",,"83.6(5)",,,,,"0.190<sup>20</sup>",,,
226,"19-Amino-8,11,13-abietatriene",,"C<sub>20</sub>H<sub>31</sub>N","1446-61-3",,"285.467","cry","44.5",,,,,,,,
227,"2-Aminoacetamide","Glycine amide","C<sub>2</sub>H<sub>6</sub>N<sub>2</sub>O","598-41-4",635783,"74.081","hyg nd (chl)","67.5",,,,,,,"vs H<sub>2</sub>O, EtOH; sl eth, bz; s ace, chl",
228,"Aminoacetonitrile",,"C<sub>2</sub>H<sub>4</sub>N<sub>2</sub>","540-61-4",773694,"56.066",,,,"58<sup>15</sup>",,,,,"vs EtOH",
229,"Aminoacetonitrile monohydrochloride",,"C<sub>2</sub>H<sub>5</sub>ClN<sub>2</sub>","6011-14-9",3652325,"92.527","hyg cry (al)","165 dec",,,,,,,,
230,"α-Aminoacetophenone hydrochloride",,"C<sub>8</sub>H<sub>10</sub>ClNO","5468-37-1",3563173,"171.624",,"194 dec",,,,,,,,
231,"1-Aminoadamantane hydrochloride","Adamantanamine hydrochloride","C<sub>10</sub>H<sub>18</sub>ClN","665-66-7",4198854,"187.710","cry (al-eth)","360 dec",,,,,,,"vs H<sub>2</sub>O, EtOH",
232,"2-Aminoadipic acid",,"C<sub>6</sub>H<sub>11</sub>NO<sub>4</sub>","626-71-1",1773077,"161.156","pl (w)","207.0",,,,,,,"sl H<sub>2</sub>O, EtOH, eth",
233,"3-Aminoalanine","2,3-Diaminopropionic acid","C<sub>3</sub>H<sub>8</sub>N<sub>2</sub>O<sub>2</sub>","515-94-6",1721401,"104.108","hyg rosettes",110,,,,,,,"vs H<sub>2</sub>O",
234,"1-Amino-9,10-anthracenedione","1-Aminoanthraquinone","C<sub>14</sub>H<sub>9</sub>NO<sub>2</sub>","82-45-1",396360,"223.227","red nd (al)","253.5","subl",,,,,,"vs ace, bz, EtOH, chl",
235,"2-Amino-9,10-anthracenedione","2-Aminoanthraquinone","C<sub>14</sub>H<sub>9</sub>NO<sub>2</sub>","117-79-3",745903,"223.227","red nd (al, HOAc)","304.5","subl",,,,"0.00016<sup>25</sup>",,"i H<sub>2</sub>O, eth; sl EtOH; s ace, bz, chl",
236,"4-Aminoazobenzene",,"C<sub>12</sub>H<sub>11</sub>N<sub>3</sub>","60-09-3",513850,"197.235","oran mcl nd (al)","125(1)",">360",,,,"0.030<sup>25</sup>",,"sl H<sub>2</sub>O, lig; s EtOH, eth, bz, chl",
237,"2-Aminobenzaldehyde",,"C<sub>7</sub>H<sub>7</sub>NO","529-23-7",507154,"121.137","silv lf","40.5",,"80<sup>2</sup>",,,,,"sl H<sub>2</sub>O; vs EtOH, eth; s bz, chl; i lig",
238,"3-Aminobenzaldehyde",,"C<sub>7</sub>H<sub>7</sub>NO","1709-44-0",970179,"121.137","nd (AcOEt)",29,,,,,,,"s eth, acid",
239,"4-Aminobenzaldehyde",,"C<sub>7</sub>H<sub>7</sub>NO","556-18-3",1362885,"121.137","pl (w)","71.5",,,,,,,"s H<sub>2</sub>O, EtOH, eth, acid",
240,"2-Aminobenzamide",,"C<sub>7</sub>H<sub>8</sub>N<sub>2</sub>O","88-68-6",508509,"136.151",,"110.5 dec",,,,,,,"s H<sub>2</sub>O, EtOH; sl eth, bz; vs AcOEt",
241,"4-Aminobenzamide",,"C<sub>7</sub>H<sub>8</sub>N<sub>2</sub>O","2835-68-9",2079485,"136.151","ye cry (+1/4w)",183,,,,,,,"sl H<sub>2</sub>O; s EtOH, eth",
242,"α-Aminobenzeneacetic acid, (±)-","α-Phenylglycine","C<sub>8</sub>H<sub>9</sub>NO<sub>2</sub>","2835-06-5",3197862,"151.163","pl","292 dec","255 subl",,,,,,"s alk; sl os",
243,"4-Aminobenzeneacetic acid","<i>p</i>-Aminophenylacetic acid","C<sub>8</sub>H<sub>9</sub>NO<sub>2</sub>","1197-55-3",2208094,"151.163","pl (w)","195(1)",,,,,,,"i H<sub>2</sub>O; sl EtOH, DMSO",
244,"5-Amino-1,3-benzenedicarboxylic acid",,"C<sub>8</sub>H<sub>7</sub>NO<sub>4</sub>","99-31-0",2805628,"181.147","pr(al), pl(w)",360,"subl",,,,,,"i H<sub>2</sub>O; sl EtOH",
245,"4-Aminobenzeneethanol",,"C<sub>8</sub>H<sub>11</sub>NO","104-10-9",907205,"137.179","nd (al)",108,,,,,,,,
246,"2-Aminobenzenemethanamine",,"C<sub>7</sub>H<sub>10</sub>N<sub>2</sub>","4403-69-4",742364,"122.167",,61,269,,,,,,"vs EtOH",
247,"2-Aminobenzenemethanol",,"C<sub>7</sub>H<sub>9</sub>NO","5344-90-1",1072211,"123.152",,"83.5",273,,,,,,"s H<sub>2</sub>O, EtOH, eth, HOAc; vs bz, chl",
248,"4-Aminobenzenesulfonamide","Sulfanilamide","C<sub>6</sub>H<sub>8</sub>N<sub>2</sub>O<sub>2</sub>S","63-74-1",511852,"172.205","lf (dil al)","162.2(4)",,,"1.08<sup>25</sup>",,"7.2<sup>20</sup>",,"s H<sub>2</sub>O, EtOH, eth, ace; sl chl, peth",
249,"2-Aminobenzenesulfonic acid","Orthanilic acid","C<sub>6</sub>H<sub>7</sub>NO<sub>3</sub>S","88-21-1",1309204,"173.190","pr (+ 1/2w)",">320 dec",,,,,,,"sl H<sub>2</sub>O; i EtOH, eth",
250,"3-Aminobenzenesulfonic acid","Metanilic acid","C<sub>6</sub>H<sub>7</sub>NO<sub>3</sub>S","121-47-1",473264,"173.190","nd, pr (w +1)","dec",,,,,,,"sl H<sub>2</sub>O, EtOH; i eth",
