Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
811,"<i>N</i>-Benzyloxycarbonylaspartame",,"C<sub>22</sub>H<sub>24</sub>N<sub>2</sub>O<sub>7</sub>","33605-72-0",,"428.435","cry",122,,,,,,,,
812,"Benzyloxycarbonyl-<small>L</small>-glutamine",,"C<sub>13</sub>H<sub>16</sub>N<sub>2</sub>O<sub>5</sub>","2650-64-8",2061271,"280.276",,"134.5",,,,,,,"s DMSO",
813,"Benzyloxycarbonylglycine",,"C<sub>10</sub>H<sub>11</sub>NO<sub>4</sub>","1138-80-3",526877,"209.199",,121,,,,,,,"s ace",
814,"Benzyloxycarbonylglycyl-<small>L</small>-leucine",,"C<sub>16</sub>H<sub>22</sub>N<sub>2</sub>O<sub>5</sub>","1421-69-8",,"322.356",,100,,,,,,,,
815,"Benzyloxycarbonylglycyl-<small>L</small>-phenylalanine",,"C<sub>19</sub>H<sub>20</sub>N<sub>2</sub>O<sub>5</sub>","1170-76-9",,"356.372",,126,,,,,,,,
816,"2-(Benzyloxy)ethanol","Ethylene glycol monobenzyl ether","C<sub>9</sub>H<sub>12</sub>O<sub>2</sub>","622-08-2",2043566,"152.190","oil","<-75",256,,"1.0640<sup>20</sup>","1.5233<sup>20</sup>",,,"vs H<sub>2</sub>O, eth, EtOH",
817,"Benzylpenicillin sodium",,"C<sub>16</sub>H<sub>17</sub>N<sub>2</sub>NaO<sub>4</sub>S","69-57-8",3834217,"356.372","nd (BuOH aq)",215,,,"1.41",,,,"vs H<sub>2</sub>O; s MeOH; i ace, eth, chl",
818,"2-Benzylphenol","<i>o</i>-Benzylphenol","C<sub>13</sub>H<sub>12</sub>O","28994-41-4",2045725,"184.233",,21,312,,,"1.5994<sup>20</sup>",,,"vs ace, bz, EtOH",
819,"4-Benzylphenol","<i>p</i>-Benzylphenol","C<sub>13</sub>H<sub>12</sub>O","101-53-1",1449572,"184.233",,84,322,,,,,,"s H<sub>2</sub>O, EtOH, eth, bz, ctc, HOAc, chl",
820,"Benzyl phenyl ether",,"C<sub>13</sub>H<sub>12</sub>O","946-80-5",2045713,"184.233","lf (al)","39(3)","285(13)",,,,,,,
821,"1-Benzylpiperazine",,"C<sub>11</sub>H<sub>16</sub>N<sub>2</sub>","2759-28-6",141624,"176.258",,,,"146<sup>12</sup>",,"1.5430<sup>28</sup>",,,"s H<sub>2</sub>O, EtOH, eth; sl chl",
822,"1-Benzylpiperidine",,"C<sub>12</sub>H<sub>17</sub>N","2905-56-8",5639,"175.270",,,245,,"0.9625<sup>16</sup>","1.5227<sup>20</sup>",,,,
823,"4-Benzylpiperidine",,"C<sub>12</sub>H<sub>17</sub>N","31252-42-3",132339,"175.270",,"16.8",270,"150<sup>17</sup>","0.9970<sup>20</sup>","1.5337<sup>25</sup>",,,"i H<sub>2</sub>O; s EtOH, eth",
824,"Benzyl propanoate",,"C<sub>10</sub>H<sub>12</sub>O<sub>2</sub>","122-63-4",2046122,"164.201",,,"224(20)",,"1.0335<sup>20</sup>",,,,,
825,"2-Benzylpyridine",,"C<sub>12</sub>H<sub>11</sub>N","101-82-6",115875,"169.222","nd","12.5",277,"149<sup>16</sup>","1.067<sup>0</sup>","1.5785<sup>20</sup>",,,"i H<sub>2</sub>O; s EtOH, eth, chl",
826,"4-Benzylpyridine",,"C<sub>12</sub>H<sub>11</sub>N","2116-65-6",115831,"169.222",,"12.4",288,"180<sup>31</sup>","1.0612<sup>20</sup>","1.5818<sup>20</sup>",,,"i H<sub>2</sub>O; s EtOH, ctc; vs eth",
827,"Benzyl 3-pyridinecarboxylate","Benzyl nicotinate","C<sub>13</sub>H<sub>11</sub>NO<sub>2</sub>","94-44-0",159169,"213.232",,,,"170<sup>3</sup>",,,,,,
828,"1-Benzyl-1<i>H</i>-pyrrole",,"C<sub>11</sub>H<sub>11</sub>N","2051-97-0",110937,"157.212",,"14(2)",247,,"1.0183<sup>20</sup>","1.5655<sup>24</sup>",,,"i H<sub>2</sub>O; vs EtOH, eth",
829,"Benzyl 1,2-pyrrolidinedicarboxylate, (<i>S</i>)-","<i>N</i>-(Benzyloxycarbonyl)-<small>L</small>-proline","C<sub>13</sub>H<sub>15</sub>NO<sub>4</sub>","1148-11-4",88579,"249.263",,"78.5",,,,"1.5310<sup>20</sup>",,,"sl chl",
830,"Benzyl salicylate",,"C<sub>14</sub>H<sub>12</sub>O<sub>3</sub>","118-58-1",2115365,"228.243",,,320,,"1.1799<sup>20</sup>","1.5805<sup>20</sup>",,,"sl H<sub>2</sub>O; s EtOH, eth, ctc",
831,"<i>O</i>-Benzyl-<small>L</small>-serine","3-(Benzyloxy)-<small>L</small>-alanine","C<sub>10</sub>H<sub>13</sub>NO<sub>3</sub>","4726-96-9",2114846,"195.215",,"218 dec",,,,,,,,
832,"Benzylsulfonic acid",,"C<sub>7</sub>H<sub>8</sub>O<sub>3</sub>S","100-87-8",,"172.202","hyg cry",,,,,,,,,
833,"4-[(Benzylsulfonyl)amino]benzoic acid","<i>p</i>-(Benzylsulfonamido)benzoic acid","C<sub>14</sub>H<sub>13</sub>NO<sub>4</sub>S","536-95-8",3352303,"291.323",,"229.5",,,,,,,"vs EtOH",
834,"(Benzylsulfonyl)benzene",,"C<sub>13</sub>H<sub>12</sub>O<sub>2</sub>S","3112-88-7",2049938,"232.298","nd (al)","146(3)",,,"1.1261<sup>153</sup>",,,,"i H<sub>2</sub>O; sl EtOH, eth, bz",
835,"(Benzylthio)benzene",,"C<sub>13</sub>H<sub>12</sub>S","831-91-4",1909409,"200.299","lf (al)","43.5",,"197<sup>27</sup>",,,,,"i H<sub>2</sub>O; s EtOH, eth, con sulf",
836,"Benzyl thiocyanate","α-Thiocyanatotoluene","C<sub>8</sub>H<sub>7</sub>NS","3012-37-1",1859726,"149.214","pr (al)",43,232,,,,,,"i H<sub>2</sub>O; s EtOH, eth, chl, CS<sub>2</sub>",
837,"Benzyltrimethylammonium chloride",,"C<sub>10</sub>H<sub>16</sub>ClN","56-93-9",3917255,"185.694",,243,,,,,,,"vs H<sub>2</sub>O; s ace",
838,"Benzylurea",,"C<sub>8</sub>H<sub>10</sub>N<sub>2</sub>O","538-32-9",2208083,"150.177","nd (al)",148,"200 dec",,,,,,"vs ace, EtOH",
839,"Bephenium chloride",,"C<sub>17</sub>H<sub>22</sub>ClNO","13928-81-9",,"291.816","cry (ace)",135,,,,,,,,
840,"Berberine","5,6-Dihydro-9,10-dimethoxybenzo[g]-1,3-benzodioxolo[5,6-a]quinolizinium","C<sub>20</sub>H<sub>19</sub>NO<sub>5</sub>","2086-83-1",3570374,"353.369","red-ye nd (w+6) cry (chl)",145,,,,,,,"vs eth, EtOH",
841,"Berberine chloride dihydrate",,"C<sub>20</sub>H<sub>22</sub>ClNO<sub>6</sub>","5956-60-5",3836585,"407.845","ye cry",,,,,,,,,
842,"Bergenin",,"C<sub>14</sub>H<sub>16</sub>O<sub>9</sub>","477-90-7",47649,"328.272","cry (MeOH)",238,,,,,,,"vs H<sub>2</sub>O, EtOH",
843,"Beryllium 2,4-pentanedioate","Beryllium acetylacetonate","C<sub>10</sub>H<sub>14</sub>BeO<sub>4</sub>","10210-64-7",,"207.228",,"108(1)",270,,"1.168<sup>20</sup>",,,,,
844,"Betaine","1-Carboxy-<i>N,N,N</i>-trimethylmethanaminium, inner salt","C<sub>5</sub>H<sub>11</sub>NO<sub>2</sub>","107-43-7",3537113,"117.147","pr or lf (al)","293 dec",,,,,,,"vs H<sub>2</sub>O, MeOH; s EtOH; sl eth, chl",
845,"Betaine, hydrochloride",,"C<sub>5</sub>H<sub>12</sub>ClNO<sub>2</sub>","590-46-5",3916181,"153.608","mcl cry (al)","227.5",,,,,,,"vs H<sub>2</sub>O",
846,"Betamethasone",,"C<sub>22</sub>H<sub>29</sub>FO<sub>5</sub>","378-44-9",,"392.460","cry (AcOMe)","232 dec",,,,,,,,
847,"Bethanidine",,"C<sub>10</sub>H<sub>15</sub>N<sub>3</sub>","55-73-2",2088068,"177.246","cry (aq MeOH)",196,,,,,,,,
848,"Betonicine",,"C<sub>7</sub>H<sub>13</sub>NO<sub>3</sub>","515-25-3",4136404,"159.183","pr (dil al, +1w)","252 dec",,,,,,,"vs EtOH",
849,"Betulaprenol 9","Nonaisoprenol","C<sub>45</sub>H<sub>74</sub>O","13190-97-1",,"631.069","oil or cry",41,,,,,,,"s chl",
850,"9,9'-Bianthracene",,"C<sub>28</sub>H<sub>18</sub>","1055-23-8",1915002,"354.443",,"321.3",,,,,,,,
