Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
89,"4-(Acetyloxy)-3-methoxybenzaldehyde",,"C<sub>10</sub>H<sub>10</sub>O<sub>4</sub>","881-68-5",1963795,"194.184",,78,,,,,,,"sl H<sub>2</sub>O; vs EtOH, eth",
90,"2-(Acetyloxy)-1-phenylethanone",,"C<sub>10</sub>H<sub>10</sub>O<sub>3</sub>","2243-35-8",1240545,"178.184","orth pl",49,270,,"1.1169<sup>65</sup>","1.5036<sup>65</sup>",,,"i H<sub>2</sub>O; vs EtOH, eth, chl; sl bz, lig",
91,"1-(Acetyloxy)-2-propanone","Acetoxyacetone","C<sub>5</sub>H<sub>8</sub>O<sub>3</sub>","592-20-1",1749857,"116.116",,,171,"63<sup>11</sup>","1.0757<sup>20</sup>","1.4141<sup>20</sup>",,,"vs H<sub>2</sub>O, eth, EtOH",
92,"(Acetyloxy)tributylstannane","Tributyltin acetate","C<sub>14</sub>H<sub>30</sub>O<sub>2</sub>Sn","56-36-0",639172,"349.097",,"84.7",,,,,,,,
93,"(Acetyloxy)triphenylstannane","Triphenyltin acetate","C<sub>20</sub>H<sub>18</sub>O<sub>2</sub>Sn","900-95-8",4146107,"409.066",,"125.2(5)",,,,,,,,
94,"4-Acetylphenyl acetate",,"C<sub>10</sub>H<sub>10</sub>O<sub>3</sub>","13031-43-1",2093080,"178.184",,,,,,,,,"s ctc, CS<sub>2</sub>",
95,"<i>N</i>-Acetyl-<small>L</small>-phenylalanine",,"C<sub>11</sub>H<sub>13</sub>NO<sub>3</sub>","2018-61-3",2213853,"207.226",,"173.5",,,,,,,"s EtOH",
96,"<i>N</i>-Acetyl-<small>L</small>-phenylalanine, ethyl ester",,"C<sub>13</sub>H<sub>17</sub>NO<sub>3</sub>","2361-96-8",,"235.279","cry (EtOH aq)",93,,,,,,,,
97,"<i>N</i>-Acetyl-<small>L</small>-phenylalanine, methyl ester",,"C<sub>12</sub>H<sub>15</sub>NO<sub>3</sub>","3618-96-0",,"221.252","nd (peth) or visc oil (chl)",91,,,,,,,,
98,"Acetyl phosphate",,"C<sub>2</sub>H<sub>5</sub>O<sub>5</sub>P","590-54-5",,"140.032","unstab in soln",,,,,,,,,
99,"1-Acetylpiperidine",,"C<sub>7</sub>H<sub>13</sub>NO","618-42-8",109570,"127.184","liq","-13.4","226.5",,"1.011<sup>9</sup>","1.4790<sup>25</sup>",,,"vs H<sub>2</sub>O, EtOH",
100,"1-Acetyl-4-piperidinone",,"C<sub>7</sub>H<sub>11</sub>NO<sub>2</sub>","32161-06-1",116031,"141.168",,,218,"124<sup>0.2</sup>","1.146<sup>25</sup>","1.5026<sup>20</sup>",,,,
