Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
423,"2-Amino-4(5<i>H</i>)-thiazolone",,"C<sub>3</sub>H<sub>4</sub>N<sub>2</sub>OS","556-90-1",2255,"116.141","pr or nd (w)","256 dec",,,,,,,"sl H<sub>2</sub>O; i EtOH, eth",
424,"<i>N</i>-(Aminothioxomethyl)acetamide","Acetylthiourea","C<sub>3</sub>H<sub>6</sub>N<sub>2</sub>OS","591-08-2",969960,"118.157","pr (w), orth (al)",165,,,,,,,"sl H<sub>2</sub>O, eth; s DMSO, EtOH",
425,"<i>N</i>-Amino-2-thioxo-4-thiazolidinone","3-Aminorhodanine","C<sub>3</sub>H<sub>4</sub>N<sub>2</sub>OS<sub>2</sub>","1438-16-0",117927,"148.206",,"101.5",,,,,,,"s DMSO",
426,"1-Amino-2,2,2-trichloroethanol","Chloral ammonia","C<sub>2</sub>H<sub>4</sub>Cl<sub>3</sub>NO","507-47-1",1698498,"164.418","nd (al)",73,"100 dec",,,,,,"vs bz, eth, EtOH",
427,"4-Amino-3,5,6-trichloro-2-pyridinecarboxlic acid","Picloram","C<sub>6</sub>H<sub>3</sub>Cl<sub>3</sub>N<sub>2</sub>O<sub>2</sub>","1918-02-1",479075,"241.459",,"218.5",,,,,,,,
428,"11-Aminoundecanoic acid",,"C<sub>11</sub>H<sub>23</sub>NO<sub>2</sub>","2432-99-7",1767291,"201.307",,"189.0",,,,,,,,
429,"Amiton",,"C<sub>10</sub>H<sub>24</sub>NO<sub>3</sub>PS","78-53-5",,"269.342","liq",,,"76<sup>0.01</sup>",,"1.4655<sup>27</sup>",,,,
430,"Amitraz","<i>N</i>-Methylbis(2,4-xylyliminomethyl)amine","C<sub>19</sub>H<sub>23</sub>N<sub>3</sub>","33089-61-1",,"293.406",,86,,,"1.128<sup>20</sup>",,,,,
431,"Amitriptyline",,"C<sub>20</sub>H<sub>23</sub>N","50-48-6",,"277.404","cry","196 (hydrochloride)",,,,,"0.0097<sup>24</sup>",,,
432,"Amminetrimethylboron",,"C<sub>3</sub>H<sub>12</sub>BN","1830-95-1",,"72.945",,"73.5",,,,,,,,
433,"Ammonium ferric oxalate",,"C<sub>6</sub>H<sub>12</sub>FeN<sub>3</sub>O<sub>12</sub>","14221-47-7",,"374.017",,"165 dec",,,"1.78<sup>17.5</sup>",,,,"vs H<sub>2</sub>O; i EtOH",
434,"Ammonium perfluorooctanoate",,"C<sub>8</sub>H<sub>4</sub>F<sub>15</sub>NO<sub>2</sub>","3825-26-1",,"431.100","solid",,,,,,,,,
435,"Ammonium propanoate",,"C<sub>3</sub>H<sub>9</sub>NO<sub>2</sub>","17496-08-1",,"91.109","hyg cry",45,,,,,,,"s H<sub>2</sub>O",
436,"Ammonium tetrathiocyanodiamminechromate(III) monohydrate","Reinecke salt","C<sub>4</sub>H<sub>12</sub>CrN<sub>7</sub>OS<sub>4</sub>","13573-16-5",,"354.440","red cry (w)","270 dec",,,,,,,"s H<sub>2</sub>O, EtOH, ace; i bz",
437,"Amobarbital","5-Ethyl-5-isopentyl-2,4,6(1<i>H</i>,3<i>H</i>,5<i>H</i>)-pyrimidinetrione","C<sub>11</sub>H<sub>18</sub>N<sub>2</sub>O<sub>3</sub>","57-43-2",211172,"226.272",,"153(1)",,,,,"0.6<sup>25</sup>",,"vs bz, EtOH, chl",
438,"Amolanone","3-[2-(Diethylamino)ethyl]-3-phenyl-2(3<i>H</i>)-benzofuranone","C<sub>20</sub>H<sub>23</sub>NO<sub>2</sub>","76-65-3",287893,"309.403","cry (peth)","43.4",,"193<sup>2.0</sup>",,"1.5614<sup>25</sup>",,,,
439,"Amoxicillin",,"C<sub>16</sub>H<sub>19</sub>N<sub>3</sub>O<sub>5</sub>S","26787-78-0",,"365.404","cry (w)",,,,,,,,"s H<sub>2</sub>O",
440,"Amphecloral",,"C<sub>11</sub>H<sub>12</sub>Cl<sub>3</sub>N","5581-35-1",,"264.579",,,,"96<sup>0.5</sup>, 96.<sup>0.5</sup>",,"1.530",,,,
441,"Amphotericin B",,"C<sub>47</sub>H<sub>73</sub>NO<sub>17</sub>","1397-89-3",,"924.080","ye pr (DMF)","170 dec",,,,,,,"i H<sub>2</sub>O; sl DMF; s DMSO",
442,"Ampicillin",,"C<sub>16</sub>H<sub>19</sub>N<sub>3</sub>O<sub>4</sub>S","69-53-4",,"349.405","cry","200 dec",,,,,,,"sl H<sub>2</sub>O",
443,"Ampyrone","4-Amino-1,2-dihydro-1,5-dimethyl-2-phenyl-3<i>H</i>-pyrazol-3-one","C<sub>11</sub>H<sub>13</sub>N<sub>3</sub>O","83-07-8",181635,"203.240","pa ye cry (bz)",109,,,,,,,"s H<sub>2</sub>O, EtOH, bz, chl; sl eth",
444,"Amygdalin",,"C<sub>20</sub>H<sub>27</sub>NO<sub>11</sub>","29883-15-6",66856,"457.428",,"224.5",,,,,,,"vs H<sub>2</sub>O; sl EtOH; i eth, chl",
445,"Anacardic acid",,"C<sub>22</sub>H<sub>32</sub>O<sub>3</sub>","11034-77-8",,"344.487","cry (ace)","35.5",,,,,,,"vs eth, EtOH, peth",
446,"Anagyrine",,"C<sub>15</sub>H<sub>20</sub>N<sub>2</sub>O","486-89-5",86776,"244.332","pe ye glass",,,"265<sup>12</sup>, 212<sup>4</sup>",,,,,"s H<sub>2</sub>O, eth, bz; vs EtOH, chl; i lig",
447,"Androstane",,"C<sub>19</sub>H<sub>32</sub>","24887-75-0",2043111,"260.457","lf (ace-MeOH)",50,,"60<sup>0.003</sup>",,,,,"vs ace, eth, EtOH, peth",
448,"Androstane-17-carboxylic acid, (5β,17β)","Etiocholanic acid","C<sub>20</sub>H<sub>32</sub>O<sub>2</sub>","438-08-4",3209645,"304.467","nd (gl HOAc)","228.5","160 subl",,,,,,,
449,"Androstane-3,17-diol, (3α,5α,17β)","Epiandrostanediol","C<sub>19</sub>H<sub>32</sub>O<sub>2</sub>","1852-53-5",,"292.456","nd (ace aq)",223,,,,,,,,
450,"5α-Androstane-3,17-dione",,"C<sub>19</sub>H<sub>28</sub>O<sub>2</sub>","846-46-8",,"288.424","cry (MeOH)","130(3)",,,,,,,,
