Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
614,"1,2-Benzenedicarbonyl dichloride","Phthaloyl chloride","C<sub>8</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>2</sub>","88-95-9",608200,"203.023",,"15.5","284(10)",,"1.4089<sup>20</sup>","1.5684<sup>20</sup>",,,,
615,"1,3-Benzenedicarbonyl dichloride",,"C<sub>8</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>2</sub>","99-63-8",638342,"203.023","pr(eth)","43.5",276,,"1.3880<sup>17</sup>","1.570<sup>47</sup>",,,"sl H<sub>2</sub>O, EtOH; s eth",
616,"1,4-Benzenedicarbonyl dichloride",,"C<sub>8</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>2</sub>","100-20-9",607796,"203.023","nd or pl (lig)","83.5",258,"125<sup>9</sup>",,,,,"s eth",
617,"1,2-Benzenedicarboxaldehyde",,"C<sub>8</sub>H<sub>6</sub>O<sub>2</sub>","643-79-8",878317,"134.133","ye cry or nd (lig)","55.8",,"83<sup>0.8</sup>",,,,,"vs eth, EtOH",
618,"1,3-Benzenedicarboxaldehyde",,"C<sub>8</sub>H<sub>6</sub>O<sub>2</sub>","626-19-7",1561038,"134.133","nd (dil al)","89(2)",246,"136<sup>13</sup>",,,,,"sl H<sub>2</sub>O, eth, chl; vs EtOH; s ace, bz",
619,"1,4-Benzenedicarboxaldehyde",,"C<sub>8</sub>H<sub>6</sub>O<sub>2</sub>","623-27-8",385863,"134.133","nd (w)",117,246,,,,,,"sl H<sub>2</sub>O; vs EtOH; s eth, chl, alk",
620,"1,2-Benzenedicarboxamide","Phthalamide","C<sub>8</sub>H<sub>8</sub>N<sub>2</sub>O<sub>2</sub>","88-96-0",1868220,"164.162","cry",222,"dec",,,,"5.9<sup>30</sup>",,"sl H<sub>2</sub>O, EtOH; i eth",
621,"1,4-Benzenedicarboxamide",,"C<sub>8</sub>H<sub>8</sub>N<sub>2</sub>O<sub>2</sub>","3010-82-0",2045548,"164.162","nd (w), pl (HOAc)","322.3",,,,,,,,
622,"1,3-Benzenedimethanamine","<i>m</i>-Xylene diamine","C<sub>8</sub>H<sub>12</sub>N<sub>2</sub>","1477-55-0",1099911,"136.194",,,247,,"1.052<sup>20</sup>",,,,"vs H<sub>2</sub>O, eth, EtOH",
623,"1,2-Benzenedimethanol",,"C<sub>8</sub>H<sub>10</sub>O<sub>2</sub>","612-14-6",508775,"138.164","pl (eth, peth)","66(3)",,"145<sup>3</sup>",,,,,"s H<sub>2</sub>O, EtOH; vs eth; sl bz",
624,"1,3-Benzenedimethanol",,"C<sub>8</sub>H<sub>10</sub>O<sub>2</sub>","626-18-6",1562398,"138.164","nd (bz)",57,,"156<sup>13</sup>","1.1610<sup>18</sup>",,,,"vs H<sub>2</sub>O, eth, EtOH",
625,"1,4-Benzenedimethanol",,"C<sub>8</sub>H<sub>10</sub>O<sub>2</sub>","589-29-7",2042077,"138.164","nd (w)","117.5",,"140<sup>1</sup>",,,,,"vs H<sub>2</sub>O, ace, eth, EtOH",
626,"1,2-Benzenediol, diacetate",,"C<sub>10</sub>H<sub>10</sub>O<sub>4</sub>","635-67-6",1912242,"194.184","nd (al)","64.5",,"142<sup>9</sup>",,,,,"i H<sub>2</sub>O; vs EtOH, eth, chl; s peth",
627,"1,4-Benzenediol, diacetate",,"C<sub>10</sub>H<sub>10</sub>O<sub>4</sub>","1205-91-0",1912233,"194.184","pl (w, al)","123.5",,,"0.8731<sup>25</sup>",,,,"s H<sub>2</sub>O; vs EtOH, eth, chl, lig",
628,"1,3-Benzenediol, monobenzoate",,"C<sub>13</sub>H<sub>10</sub>O<sub>3</sub>","136-36-7",1873897,"214.216",,"134.5",,,,,,,,
629,"1,3-Benzenedisulfonic acid",,"C<sub>6</sub>H<sub>6</sub>O<sub>6</sub>S<sub>2</sub>","98-48-6",,"238.238","hyg cry",,,,,,,,,
630,"1,3-Benzenedisulfonyl dichloride",,"C<sub>6</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>4</sub>S<sub>2</sub>","585-47-7",1118508,"275.130",,"61.8",,"195<sup>10.5</sup>",,,,,,
631,"1,2-Benzenedithiol",,"C<sub>6</sub>H<sub>6</sub>S<sub>2</sub>","17534-15-5",636154,"142.242",,"28.5","238.5",,,,,,"vs EtOH, eth, bz; s AcOEt",
632,"1,3-Benzenedithiol",,"C<sub>6</sub>H<sub>6</sub>S<sub>2</sub>","626-04-0",1634412,"142.242","lf",27,245,,,,,,"vs bz, eth, EtOH",
633,"Benzeneethanamine","2-Phenylethylamine","C<sub>8</sub>H<sub>11</sub>N","64-04-0",507488,"121.180","liq","<0","204(4)",,"0.9640<sup>25</sup>","1.5290<sup>25</sup>",,,"s H<sub>2</sub>O, ctc; vs EtOH, eth",
634,"Benzeneethanamine, hydrochloride",,"C<sub>8</sub>H<sub>12</sub>ClN","156-28-5",3624163,"157.641","pl or lf (al)","218.5",,,,,,,"vs H<sub>2</sub>O, EtOH",
635,"Benzeneethanol","Phenethyl alcohol","C<sub>8</sub>H<sub>10</sub>O","60-12-8",1905732,"122.164","liq","-19(2)","220(3)",,"1.0202<sup>20</sup>","1.5325<sup>20</sup>","17.5<sup>25</sup>","0.01","sl H<sub>2</sub>O; msc EtOH, eth",
636,"Benzenehexacarboxylic acid","Mellitic acid","C<sub>12</sub>H<sub>6</sub>O<sub>12</sub>","517-60-2",2228443,"342.169","nd (al)","287 dec",,,,,"972<sup>25</sup>",,"vs H<sub>2</sub>O; s EtOH, sulf",
637,"Benzenemethanamine, hydrochloride",,"C<sub>7</sub>H<sub>10</sub>ClN","3287-99-8",3594394,"143.614",,"258.3",,,,,,,"vs H<sub>2</sub>O, EtOH",
638,"Benzenemethanesulfonyl chloride",,"C<sub>7</sub>H<sub>7</sub>ClO<sub>2</sub>S","1939-99-7",972806,"190.648","pr (eth), nd (bz)",93,,,,,,,"vs eth, bz",
639,"Benzenemethanesulfonyl fluoride",,"C<sub>7</sub>H<sub>7</sub>FO<sub>2</sub>S","329-98-6",2088311,"174.193",,"92.0",,,,,,,,
640,"Benzenemethanethiol","Thiobenzyl alcohol","C<sub>7</sub>H<sub>8</sub>S","100-53-8",605864,"124.204","liq","-30","199(1)",,"1.058<sup>20</sup>","1.5151<sup>20</sup>",,,"i H<sub>2</sub>O; vs EtOH, eth; sl ctc; s CS<sub>2</sub>",
641,"Benzenepentanoic acid","5-Phenylvaleric acid","C<sub>11</sub>H<sub>14</sub>O<sub>2</sub>","2270-20-4",2049062,"178.228","pl (w), pr (peth)","59(1)","310(1)","190<sup>30</sup>",,,,,"sl H<sub>2</sub>O; vs EtOH; s os",
642,"Benzenepentanol",,"C<sub>11</sub>H<sub>16</sub>O","10521-91-2",1935233,"164.244",,,,"155<sup>20</sup>, 150<sup>18</sup>","0.9725<sup>20</sup>","1.5156<sup>20</sup>",,,"vs eth, EtOH",
643,"Benzenepropanal","Hydrocinnamic aldehyde","C<sub>9</sub>H<sub>10</sub>O","104-53-0",1071910,"134.174","mcl",47,224,"117<sup>28</sup>","1.0190<sup>20</sup>",,,,"i H<sub>2</sub>O; vs EtOH; msc eth",
644,"Benzenepropanenitrile","Hydrocinnamonitrile","C<sub>9</sub>H<sub>9</sub>N","645-59-0",636348,"131.174","liq","-1",261,"141<sup>25</sup>","1.0016<sup>20</sup>","1.5266<sup>28</sup>",,,"s EtOH, eth; sl chl",
645,"Benzenepropanethiol",,"C<sub>9</sub>H<sub>12</sub>S","24734-68-7",2241027,"152.256",,,,"121<sup>23</sup>, 109<sup>10</sup>","1.01<sup>25</sup>","1.5494<sup>20</sup>",,,,
646,"Benzenepropanoic acid","Hydrocinnamic acid","C<sub>9</sub>H<sub>10</sub>O<sub>2</sub>","501-52-0",907515,"150.174","nd (w)","48.4(3)","284(2)",,"1.0712<sup>49</sup>",,,,"s H<sub>2</sub>O, EtOH, eth, ctc, CS<sub>2</sub>; vs bz",
647,"Benzenepropanol","Hydrocinnamyl alcohol","C<sub>9</sub>H<sub>12</sub>O","122-97-4",1857542,"136.190",,"<-18","241(4)",,"0.995<sup>25</sup>","1.5357<sup>25</sup>",,,"s H<sub>2</sub>O, ctc; msc EtOH, eth",
648,"Benzenepropanol carbamate","Phenprobamate","C<sub>10</sub>H<sub>13</sub>NO<sub>2</sub>","673-31-4",1959273,"179.216",,"103.4(5)",,,,,,,"i H<sub>2</sub>O; s EtOH, chl",
649,"Benzenepropanoyl chloride",,"C<sub>9</sub>H<sub>9</sub>ClO","645-45-4",742586,"168.619",,,"225 dec","105<sup>10</sup>","1.135<sup>21</sup>",,,,"s eth, CS<sub>2</sub>",
650,"Benzeneseleninic acid","Phenylseleninic acid","C<sub>6</sub>H<sub>6</sub>O<sub>2</sub>Se","6996-92-5",1929765,"189.07",,"124.5",,,"1.93<sup>20</sup>",,,,"sl H<sub>2</sub>O; i bz; vs alk",
