Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
170,"Allylbenzene","2-Propenylbenzene","C<sub>9</sub>H<sub>10</sub>","300-57-2",1098501,"118.175","liq","-40(4)","158(2)",,"0.8920<sup>20</sup>","1.5131<sup>20</sup>",,,"i H<sub>2</sub>O; s EtOH, eth, bz, ctc",
171,"α-Allylbenzenemethanol",,"C<sub>10</sub>H<sub>12</sub>O","936-58-3",,"148.201",,,"228.5",,"1.004<sup>18</sup>","1.5289<sup>21</sup>",,,,
172,"Allyl benzoate",,"C<sub>10</sub>H<sub>10</sub>O<sub>2</sub>","583-04-0",2043396,"162.185",,,,,"1.0569<sup>15</sup>","1.5178<sup>20</sup>",,,"i H<sub>2</sub>O; s EtOH, eth, ace, MeOH",
173,"Allyl butanoate",,"C<sub>7</sub>H<sub>12</sub>O<sub>2</sub>","2051-78-7",1751642,"128.169",,,142,"44.5<sup>15</sup>","0.9017<sup>20</sup>","1.4158<sup>20</sup>",,,"i H<sub>2</sub>O; msc EtOH, eth; sl ctc",
174,"Allyl carbamate",,"C<sub>4</sub>H<sub>7</sub>NO<sub>2</sub>","2114-11-6",1745069,"101.105",,,,,,,,,"sl ctc",
175,"Allylchlorodimethylsilane",,"C<sub>5</sub>H<sub>11</sub>ClSi","4028-23-3",1737978,"134.680",,,111,,"0.8964<sup>20</sup>","1.4195<sup>20</sup>",,,,
176,"Allyl chloroformate",,"C<sub>4</sub>H<sub>5</sub>ClO<sub>2</sub>","2937-50-0",,"120.535","hyg liq",,"109.5",,"1.136","1.4220<sup>20</sup>",,,,
177,"Allyl <i>trans</i>-cinnamate","Allyl <i>trans</i>-3-phenyl-2-propenoate","C<sub>12</sub>H<sub>12</sub>O<sub>2</sub>","1866-31-5",,"188.222",,,"268 dec","163<sup>17</sup>","1.048<sup>23</sup>","1.530<sup>20</sup>",,,"i H<sub>2</sub>O; vs EtOH; msc eth; sl ctc",
178,"1-Allylcyclohexanol",,"C<sub>9</sub>H<sub>16</sub>O","1123-34-8",1561190,"140.222",,,190,,"0.9341<sup>22</sup>","1.4756<sup>22</sup>",,,,
179,"1-Allylcyclohexene","1-(2-Propenyl)cyclohexene","C<sub>9</sub>H<sub>14</sub>","13511-13-2",,"122.207","liq",,"159(9)",,,,,,,
180,"Allylcyclopentane",,"C<sub>8</sub>H<sub>14</sub>","3524-75-2",2036419,"110.197","liq","-110.6(1)","127(4)",,"0.793<sup>25</sup>","1.4412<sup>20</sup>",,,"s chl",
181,"Allyldiethoxymethylsilane",,"C<sub>8</sub>H<sub>18</sub>O<sub>2</sub>Si","18388-45-9",1760495,"174.314",,,155,,"0.8572<sup>25</sup>","1.4104<sup>20</sup>",,,,
182,"Allyldiethylamine","<i>N,N</i>-Diethyl-2-propen-1-amine","C<sub>7</sub>H<sub>15</sub>N","5666-17-1",1739256,"113.201",,,110,,"0.7477<sup>25</sup>","1.4209<sup>20</sup>",,,,
183,"4-Allyl-1,2-dimethoxybenzene","Methyleugenol","C<sub>11</sub>H<sub>14</sub>O<sub>2</sub>","93-15-2",1910871,"178.228","liq","-2.0","254.7",,"1.0396<sup>20</sup>","1.5340<sup>20</sup>",,,"i H<sub>2</sub>O; s EtOH, eth",
184,"Allyldimethylamine","<i>N,N</i>-Dimethyl-2-propen-1-amine","C<sub>5</sub>H<sub>11</sub>N","2155-94-4",1734044,"85.148",,,"62(4)",,"0.7094<sup>25</sup>","1.4010<sup>20</sup>",,,,
185,"Allyl ethyl ether",,"C<sub>5</sub>H<sub>10</sub>O","557-31-3",1361480,"86.132",,,"65(4)",,"0.7651<sup>20</sup>","1.3881<sup>20</sup>",,"20.4","i H<sub>2</sub>O; msc EtOH, eth; s ace",
186,"Allyl formate",,"C<sub>4</sub>H<sub>6</sub>O<sub>2</sub>","1838-59-1",1735668,"86.090",,,"83.6",,"0.9460<sup>20</sup>",,,,"sl H<sub>2</sub>O; s EtOH; msc eth",
187,"Allyl 2-furancarboxylate","Allyl 2-furanoate","C<sub>8</sub>H<sub>8</sub>O<sub>3</sub>","4208-49-5",118399,"152.148",,,"207.5",,"1.115<sup>25</sup>","1.4945<sup>20</sup>",,,"s eth, ace; sl ctc",
188,"Allyl glycidyl ether",,"C<sub>6</sub>H<sub>10</sub>O<sub>2</sub>","106-92-3",105871,"114.142",,,154,,"0.9698<sup>20</sup>","1.4332<sup>20</sup>",,,,
189,"Allyl hexanoate",,"C<sub>9</sub>H<sub>16</sub>O<sub>2</sub>","123-68-2",1761920,"156.222",,,186,,"0.8869<sup>20</sup>",,,,,
190,"Allyl (hydroxymethyl)carbamate",,"C<sub>5</sub>H<sub>9</sub>NO<sub>3</sub>","24935-97-5",,"131.130","cry (tol)",57,,,,,,,,
191,"Allyl isocyanate",,"C<sub>4</sub>H<sub>5</sub>NO","1476-23-9",506106,"83.089",,,88,,,,,,,
192,"Allyl isothiocyanate",,"C<sub>4</sub>H<sub>5</sub>NS","57-06-7",773748,"99.155","liq","-80","160(6)",,"1.0126<sup>20</sup>","1.5306<sup>20</sup>",,"0.677","vs bz, eth, EtOH",
193,"Allyl methacrylate",,"C<sub>7</sub>H<sub>10</sub>O<sub>2</sub>","96-05-9",1747406,"126.153",,,,"67<sup>50</sup>, 55<sup>30</sup>","0.9335<sup>20</sup>","1.4360<sup>20</sup>",,,,
194,"4-Allyl-2-methoxyphenol","Eugenol","C<sub>10</sub>H<sub>12</sub>O<sub>2</sub>","97-53-0",1366759,"164.201","liq","-7.5","254(7)",,"1.0652<sup>20</sup>","1.5405<sup>20</sup>",,,"i H<sub>2</sub>O; msc EtOH, eth; s chl, HOAc, oils",
195,"4-Allyl-2-methoxyphenyl acetate","1,3,4-Eugenol acetate","C<sub>12</sub>H<sub>14</sub>O<sub>3</sub>","93-28-7",1964745,"206.237","pr (al)","30.5",281,"127<sup>6</sup>","1.0806<sup>20</sup>","1.5205<sup>20</sup>",,,"i H<sub>2</sub>O; s EtOH; sl ctc",
196,"Allyl 3-methylbutanoate",,"C<sub>8</sub>H<sub>14</sub>O<sub>2</sub>","2835-39-4",1750520,"142.196",,,154,,,,,,,
197,"Allylmethyldichlorosilane",,"C<sub>4</sub>H<sub>8</sub>Cl<sub>2</sub>Si","1873-92-3",1740877,"155.099",,,"119.5",,"1.0758<sup>20</sup>","1.4419<sup>20</sup>",,,,
198,"2-(Allyloxy)ethanol","Ethylene glycol monoallyl ether","C<sub>5</sub>H<sub>10</sub>O<sub>2</sub>","111-45-5",1742145,"102.132",,,"158.5",,"0.9580<sup>20</sup>","1.4358<sup>20</sup>",,,"msc H<sub>2</sub>O; vs EtOH; s bz, ctc, MeOH",
199,"2-Allylphenol",,"C<sub>9</sub>H<sub>10</sub>O","1745-81-9",742121,"134.174","liq","-6",220,,"1.0246<sup>15</sup>","1.5181<sup>20</sup>",,,"vs eth",
200,"4-Allylphenol","Chavicol","C<sub>9</sub>H<sub>10</sub>O","501-92-8",2039682,"134.174",,"15.8",238,,"1.0203<sup>15</sup>","1.5441<sup>18</sup>",,,"vs eth, EtOH, chl",
1,"Abate","Temephos","C<sub>16</sub>H<sub>20</sub>O<sub>6</sub>P<sub>2</sub>S<sub>3</sub>","3383-96-8",,"466.469","cry","31.6(5)",,,"1.32",,,,"sl H<sub>2</sub>O, hx; s ctc, eth, tol",
2,"Abietic acid","Sylvic acid","C<sub>20</sub>H<sub>30</sub>O<sub>2</sub>","514-10-3",2221451,"302.451","mcl pl (al-w)","173.5","439.5","250<sup>9</sup>","1.06<sup>25</sup>",,,,"vs ace, bz, eth, EtOH",
3,"Abscisic acid",,"C<sub>15</sub>H<sub>20</sub>O<sub>4</sub>","21293-29-8",2698956,"264.318","cry (chl-peth)",160,"120 subl",,,,,,"vs ace, eth, chl",
4,"Acacetin","5,7-Dihydroxy-2-(4-methoxyphenyl)-4<i>H</i>-1-benzopyran-4-one","C<sub>16</sub>H<sub>12</sub>O<sub>5</sub>","480-44-4",277879,"284.263","ye nd (95% al)",263,,,,,,,"vs EtOH",
5,"Acebutolol, (±)-",,"C<sub>18</sub>H<sub>28</sub>N<sub>2</sub>O<sub>4</sub>","37517-30-9",,"336.426","cry",121,,,,,,,,
6,"Acedapsone",,"C<sub>16</sub>H<sub>16</sub>N<sub>2</sub>O<sub>4</sub>S","77-46-3",2164071,"332.374","pa ye nd (eth) lf (dil al)",290,,,,,,,"sl H<sub>2</sub>O",
7,"Acenaphthene","1,2-Dihydroacenaphthylene","C<sub>12</sub>H<sub>10</sub>","83-32-9",386081,"154.207",,"93(2)","277.5(8)",,"1.222<sup>20</sup>","1.6048<sup>95</sup>","0.00380<sup>25</sup>",,"i H<sub>2</sub>O; sl EtOH, chl; vs bz; s HOAc",
8,"Acenaphthylene","Acenaphthalene","C<sub>12</sub>H<sub>8</sub>","208-96-8",774092,"152.192",,"89.4(3)",280,,"0.8987<sup>16</sup>",,"0.016<sup>20</sup>","0.001","i H<sub>2</sub>O; vs EtOH, eth, bz; sl chl",
9,"1,2-Acenaphthylenedione",,"C<sub>12</sub>H<sub>6</sub>O<sub>2</sub>","82-86-0",879172,"182.175","ye nd (HOAc)","259(9)","subl",,"1.4800<sup>20</sup>",,,,"i H<sub>2</sub>O; sl EtOH, bz, HOAc; s lig",
10,"Acenocoumarol","Nicoumalone","C<sub>19</sub>H<sub>15</sub>NO<sub>6</sub>","152-72-7",,"353.325","cry (ace aq)",198,,,,,,,"i H<sub>2</sub>O",
11,"Acephate","Phosphoramidothioic acid, acetyl-, <i>O,S</i>-dimethyl ester","C<sub>4</sub>H<sub>10</sub>NO<sub>3</sub>PS","30560-19-1",,"183.166",,"92.0(5)",,,"1.35<sup>20</sup>",,"≈390<sup>20</sup>",,,
12,"Acepromazine","1-[10-[3-(Dimethylamino)propyl]-10<i>H</i>-phenothiazin-2-yl]ethanone","C<sub>19</sub>H<sub>22</sub>N<sub>2</sub>OS","61-00-7",40187,"326.455","oran oil",,,"230<sup>0.5</sup>",,,,,,
13,"Acesulfame",,"C<sub>4</sub>H<sub>5</sub>NO<sub>4</sub>S","33665-90-6",,"163.153","nd (bz)","123.2",,,,,,,"s bz, chl",
14,"Acetaldehyde","Ethanal","C<sub>2</sub>H<sub>4</sub>O","75-07-0",505984,"44.052","vol liq or gas","-123.4(7)","20.8(6)",,"0.7834<sup>18</sup>","1.3316<sup>20</sup>",,120,"msc H<sub>2</sub>O, EtOH, eth, bz; sl chl",
15,"Acetaldehyde phenylhydrazone",,"C<sub>8</sub>H<sub>10</sub>N<sub>2</sub>","935-07-9",,"134.178",,"99.5",,"150<sup>40</sup>, 135<sup>21</sup>",,,,,"vs EtOH",
16,"Acetaldoxime","Acetaldehyde oxime","C<sub>2</sub>H<sub>5</sub>NO","107-29-9",1209252,"59.067","nd","25(1)","115.24(10)",,"0.9656<sup>20</sup>","1.4264<sup>20</sup>",,,"s H<sub>2</sub>O, chl; msc EtOH, eth",
17,"Acetamide","Ethanamide","C<sub>2</sub>H<sub>5</sub>NO","60-35-5",1071207,"59.067","trg mcl (al-eth)","80.16(4)","222.0",,"0.9986<sup>85</sup>","1.4278","689<sup>20</sup>",,"vs H<sub>2</sub>O, EtOH",
